,2012,2011,2010,2009,2008,2007,2006,2005,2004
beijing,9.05,8.29,7.48,8.06,8.17,8.32,6.26,6.29,6.1
tianjin,8.75,8.58,8.18,8.3,8.13,7.91,7.67,7.44,7.31
hebei,12.88,13.02,13.22,12.93,13.04,13.33,12.82,12.84,11.98
shanxi1,10.7,10.47,10.68,10.87,11.32,11.3,11.48,12.02,12.36
neimenggu,9.17,8.94,9.3,9.57,9.81,10.21,9.87,10.08,9.53
liaoning,6.15,5.71,6.68,6.06,6.32,6.89,6.4,7.01,6.51
jilin,5.73,6.53,7.91,6.69,6.65,7.55,7.67,7.89,7.39
heilongjiang,7.3,6.99,7.35,7.48,7.91,7.88,7.57,7.87,7.27
shanghai,9.56,6.97,7.05,8.64,8.89,9.07,7.47,7.04,6
jiangsu,9.44,9.59,9.73,9.55,9.34,9.37,9.36,9.24,9.45
zhejiang,10.12,9.47,10.27,10.22,10.2,10.38,10.29,11.1,10.71
anhui,13,12.23,12.7,13.07,13.05,12.75,12.6,12.43,11.62
fujian,12.74,11.41,11.27,12.2,12.2,11.9,12,11.6,11.58
jiangxi,13.46,13.48,13.72,13.87,13.92,13.86,13.8,13.79,13.61
shandong,11.9,11.5,11.65,11.7,11.25,11.11,11.6,12.14,12.5
henan,11.87,11.56,11.52,11.45,11.42,11.26,11.59,11.55,11.67
hubei,11,10.39,10.36,9.48,9.21,9.19,9.08,8.74,8.43
hunan,13.58,13.35,13.1,13.05,12.68,11.96,11.92,11.9,11.89
guangdong,11.6,10.45,11.18,11.78,11.8,11.96,11.78,11.7,13.13
guangxi,14.2,13.71,14.13,14.17,14.4,14.19,14.44,14.26,13.32
hainan,14.66,14.72,14.71,14.66,14.71,14.62,14.59,14.65,14.77
chongqing,10.86,9.88,9.17,9.9,10.1,10.1,9.9,9.4,9.45
sichuan,9.89,9.79,8.93,9.15,9.54,9.21,9.14,9.7,9.05
guizhou,13.27,13.31,13.96,13.65,13.49,13.28,13.97,14.59,15.08
yunnan,12.63,12.71,13.1,12.53,12.63,13.08,13.2,14.72,15.6
xizang,15.48,15.39,15.8,15.31,15.5,16.4,17.4,17.94,17.4
shanxi2,10.12,9.75,9.73,10.24,10.29,10.21,10.19,10.02,10.59
gansu,12.11,12.08,12.05,13.32,13.22,13.14,12.86,12.59,12.43
qinghai,14.3,14.43,14.94,14.51,14.49,14.93,15.24,15.7,16.32
ningxia,13.26,13.65,14.14,14.38,14.31,14.8,15.53,15.93,15.97
xinjiang,15.32,14.99,15.99,15.99,16.05,16.79,15.79,16.42,16
