beijing	709	273
tianjin	725	288
hebei	686	311
shanxi	655	319
neimenggu	631	266
liaoning	818	227
jilin	839	185
heilongjiang	851	145
shanghai		813	439
jiangsu	782	430
zhejiang	795	461
anhui	750	427
fujian	789	536
jiangxi	730	498
shandong	737	343
henan	680	387
hubei	700	463
hunan	675	505
guangdong	692	600
guangxi	594	615
hainan	627	676
chongqin	587	447
sichuan	510	463
guizhou	561	539
yunnan	480	569
xizang	273	464
shanxi	594	391
gaisu	511	364
qinghai	471	354
ningxia	565	296
xinjiang	257	190
