,2012,2011,2010,2009,2008,2007,2006,2005,2004
beijing,140273.72,145468.95,136415.00,140812.88,113259.00,107816.69,104922.00,101009.00,98063.00
tianjin,82813.16,67146.94,68196.00,59647.38,61229.00,56928.16,58834.00,60361.00,48671.00
hebei,305773.50,278551.26,262543.00,244988.51,234697.00,222914.35,213672.00,208524.00,206736.00
shanxi1,134298.48,116132.01,118299.00,105875.05,106911.00,104594.39,89142.00,95096.00,93738.00
neimenggu,102424.49,100388.99,92548.00,73154.74,70421.00,60405.23,55102.00,56241.00,52568.00
liaoning,238768.79,232247.02,218189.00,217154.68,212021.00,220996.73,206236.00,218705.00,195257.00
jilin,119509.20,116162.36,114431.00,109714.74,107781.00,97857.83,89855.00,98005.00,86923.00
heilongjiang,162589.08,150661.01,118575.00,110508.16,110996.00,108972.59,110201.00,114041.00,114340.00
shanghai,219244.06,214155.09,248250.00,230517.53,223751.00,226614.08,222565.00,199710.00,193325.00
jiangsu,598210.95,592773.76,555500.00,522329.29,509701.00,505598.33,508825.00,519425.00,466111.00
zhejiang,420960.52,420133.89,394828.00,365017.13,350377.00,338100.92,303515.00,313196.00,281326.00
anhui,254328.89,243265.24,184700.00,179701.21,168670.00,175327.09,164449.00,156591.00,148316.00
fujian,256262.77,316177.53,238502.00,246012.63,236269.00,226997.87,213401.00,212392.00,192968.00
jiangxi,201189.71,194431.55,160661.00,147080.54,138909.00,141266.69,130183.00,123320.00,120092.00
shandong,479100.25,443330.98,436372.00,386731.08,358911.00,334254.73,299812.00,280377.00,264014.00
henan,403667.62,378784.85,358679.00,333980.16,309193.00,296467.29,268888.00,262564.00,250652.00
hubei,290200.42,293063.53,270755.00,265756.75,258874.00,246582.56,231454.00,237368.00,232629.00
hunan,304214.43,278811.44,268110.00,260278.41,250331.00,252072.98,235728.00,255638.00,250007.00
guangdong,838550.53,785586.50,722978.00,687429.19,677352.00,690887.04,618921.00,638403.00,541717.00
guangxi,245577.80,222438.92,312630.00,305507.09,345355.00,319808.27,250584.00,270857.00,218776.00
hainan,37103.42,35725.15,36689.00,37517.74,36188.00,35158.63,34962.00,35274.00,33055.00
chongqing,132430.20,131449.83,128113.00,147068.75,145113.00,134240.39,145263.00,145221.00,135518.00
sichuan,283657.06,279851.96,256095.00,262708.65,262343.00,252961.78,234483.00,261651.00,241720.00
guizhou,91455.12,77927.20,60823.00,59159.17,55866.00,55112.42,51460.00,55668.00,55687.00
yunnan,154009.74,147523.10,91992.00,87590.64,83865.00,83758.94,76760.00,75202.00,78303.00
xizang,4683.14,4634.58,3825.00,3455.23,3420.00,3335.56,2685.00,4555.00,4501.00
shanxi2,128749.05,121814.67,115673.00,111218.74,104883.00,99348.16,82204.00,83368.00,75810.00
gansu,62813.02,59231.69,51241.00,49270.16,47470.00,44335.27,42254.00,43728.00,45171.00
qinghai,21994.46,21291.52,22609.00,22170.93,19997.00,19948.49,15726.00,19360.00,14287.00
ningxia,38948.08,39432.37,40653.00,41336.46,37948.00,37213.38,25276.00,35817.00,23773.00
xinjiang,93810.49,83328.54,83690.00,77183.63,74700.00,68617.30,57440.00,63419.00,60040.00
