,2012,2011,2010,2009,2008,2007,2006,2005,2004
beijing,6.55,6.35,6.27,6.17,4.7,4.48,5.32,4.44,4.93
tianjin,2.23,2.17,1.92,1.74,,,1.57,1.57,1.42
hebei,7.35,7.11,6.9,6.09,5.69,5.08,4.73,4.48,4.17
shanxi1,3.57,3.25,3.11,2.8,2.53,2.18,2.03,1.93,1.54
neimenggu,4.67,4.11,3.81,2.96,2.6,2.41,2.12,1.96,1.9
liaoning,11.83,9.6,9.28,8.41,7.88,7.69,6.35,7.46,7.18
jilin,3.88,3.87,3.79,3.48,3.21,2.9,2.73,2.69,2.55
heilongjiang,7.38,7.22,6.96,6.42,5.88,22.01,3.68,5.14,4.91
shanghai,12.42,12.23,12.01,11.69,3.43,3.18,3.06,2.87,2.65
jiangsu,24.7,23.75,22.76,21.5,19.55,18.08,15.29,18.91,17.26
zhejiang,12.27,10.52,7.95,7.44,6.96,6.33,5.78,5.69,4.8
anhui,7.96,7.6,7.15,6.73,5.92,5.91,6.3,4.19,3.81
fujian,5.45,5.08,4.79,4.13,3.85,2.88,2.63,2.72,2.45
jiangxi,4.69,4.51,4.23,3.76,3.24,3.11,2.45,2.52,2.34
shandong,17.63,16.56,15.62,14.7,13.53,12.56,10.93,10.53,9.27
henan,7.7,6.96,6.68,6.29,6,5.32,4.71,4.3,3.59
hubei,6.88,6.21,5.79,5.49,5.22,4.4,4.16,5.62,5.53
hunan,5.18,4.96,4.6,4.29,4.18,3.97,3.53,4.07,3.61
guangdong,40.17,41.06,42.04,40.16,37.7,27.47,21.85,33.3,27.37
guangxi,6.7,6.45,6.02,5.78,5.55,5.33,5.13,2.97,2.86
hainan,5.07,4.98,4.9,4.89,4.88,4.83,0.67,0.67,0.58
chongqing,4.72,4.39,3.77,3.25,2.85,2.42,1.78,1.59,1.43
sichuan,8.32,7.74,7.23,6.68,5.8,5.59,5.45,6.81,6.64
guizhou,3.29,3.05,2.87,2.78,2.75,2.72,2.68,2.8,2.69
yunnan,3.53,3.19,2.81,2.24,1.84,1.65,1.32,1.67,1.17
xizang,0.34,0.29,0.21,0.22,0.2,0.2,0.16,0.01,0
shanxi2,3.1,2.82,2.61,2.34,2.22,2.15,1.89,1.5,1.39
gansu,1.85,1.63,1.53,1.47,1.41,1.26,0.92,1.15,1.04
qinghai,0.4,0.39,0.34,0.33,0.31,0.3,0.27,0.24,0.21
ningxia,1.98,1.84,1.74,1.45,1.45,1.21,0.84,0.77,0.66
xinjiang,4.95,4.41,3.77,3.64,3.42,3.26,1.8,2.25,2.23
