,2012,2011,2010,2009,2008,2007,2006,2005,2004
beijing,93849.39,97883.33,115050.00,118793.86,123000.00,151661.15,176000.00,190000.00,191000.00
tianjin,224521.40,230900.00,235150.00,236699.81,240000.00,244700.00,255000.00,265000.00,227000.00
hebei,1341201.15,1412128.73,1233780.00,1253463.29,1345000.00,1492479.99,1545000.00,1495000.00,1428000.00
shanxi,1301755.00,1399051.29,1249201.00,1268427.69,1308000.00,1386724.44,1478000.00,1516000.00,1415000.00
neimenggu,1384928.33,1409404.33,1394100.00,1398803.38,1431000.00,1455800.49,1557000.00,1456000.00,1179000.00
liaoning,1058712.30,1126169.82,1022207.00,1051419.47,1131000.00,1233842.85,1259000.00,1197000.00,831000.00
jilin,403482.25,413190.52,356310.00,363005.24,378000.00,398977.41,409000.00,383000.00,285000.00
heilongjiang,514299.73,521896.19,490164.00,490383.48,506000.00,515368.72,518000.00,508000.00,373000.00
shanghai,228218.29,240101.50,358100.00,378907.51,446000.00,497818.19,508000.00,513000.00,474000.00
jiangsu,991966.79,1053799.74,1050488.00,1074154.54,1130000.00,1218055.77,1304000.00,1373000.00,1240000.00
zhejiang,625766.42,662048.27,678342.00,701329.51,741000.00,797026.56,859000.00,860000.00,814000.00
anhui,519589.35,529473.84,532076.00,538423.97,556000.00,571701.04,584000.00,571000.00,490000.00
fuijian,371251.34,389174.59,409051.00,419656.35,429000.00,445657.80,469000.00,461000.00,326000.00
jiangxi,567687.21,584061.27,557072.00,564221.98,583000.00,620989.33,634000.00,613000.00,519000.00
shandong,1748806.99,1827397.20,1537818.00,1590301.46,1692000.00,1822149.93,1962000.00,2002000.00,1821000.00
henan,1275909.33,1370504.08,1338701.00,1355000.51,1452000.00,1563900.41,1624000.00,1624000.00,1256000.00
hubei,622367.29,665640.29,632582.00,643761.33,670000.00,707574.78,760000.00,718000.00,692000.00
hunan,644959.47,685529.58,801311.00,811501.55,840000.00,904289.10,934000.00,919000.00,873000.00
guangdong,799223.24,847727.60,1050508.00,1070488.15,1136000.00,1203019.16,1267000.00,1294000.00,1148000.00
guangxi,504123.33,521022.51,903826.00,890494.78,925000.00,973844.04,994000.00,1024000.00,944000.00
hainan,34136.86,32572.39,28810.00,22031.20,22000.00,25599.70,24000.00,22000.00,23000.00
chongqin,564776.63,586929.07,719404.00,746091.62,782000.00,826200.13,860000.00,837000.00,795000.00
sichuan,864440.44,902006.30,1130952.00,1135299.13,1148000.00,1178749.69,1281000.00,1300000.00,1265000.00
guizhou,1041086.62,1104284.00,1148830.00,1175494.19,1236000.00,1375072.97,1465000.00,1358000.00,1315000.00
yunnan,672215.92,691225.79,500702.00,499306.78,502000.00,533700.00,551000.00,522000.00,478000.00
xizang,4184.66,4175.73,3857.00,1660.00,2000.00,1890.80,2000.00,2000.00,1000.00
shanxi,843755.44,916838.68,778649.00,804407.63,889000.00,927208.82,981000.00,922000.00,818000.00
gansu,572489.40,623902.18,551785.00,500305.71,502000.00,523249.99,546000.00,563000.00,484000.00
qinghai,153853.33,156602.10,143431.00,135698.26,135000.00,133922.77,130000.00,124000.00,73000.00
ningxia,406633.25,410385.49,310752.00,314245.07,348000.00,369775.67,383000.00,342000.00,293000.00
xinjiang,796128.41,763055.29,588487.00,589900.05,585000.00,579936.79,549000.00,519000.00,481000.00
